,english,hebrew
0,abandon,לִנְטוֹשׁ
1,ability,יְכוֹלֶת
2,able,יכול
3,abortion,הפלה
4,about,על אודות
5,above,מֵעַל
6,abroad,מחוץ לארץ
7,absence,הֶעְדֵר
8,absolute,מוּחלָט
9,absolutely,בהחלט
10,absorb,לִסְפּוֹג
11,abuse,התעללות
12,academic,אקדמי
13,accept,לְקַבֵּל
14,access,גִישָׁה
15,accident,תְאוּנָה
16,accompany,ללוות
17,accomplish,לְהַשִׂיג
18,according,לפי
19,account,חֶשְׁבּוֹן
20,accurate,מְדוּיָק
21,accuse,לְהַאֲשִׁים
22,achieve,לְהַשִׂיג
23,achievement,הֶשֵׂג
24,acid,חוּמצָה
25,acknowledge,לְהוֹדוֹת
26,acquire,לִרְכּוֹשׁ
27,across,ברחבי
28,act,פעולה
29,action,פעולה
30,active,פָּעִיל
31,activist,פעיל
32,activity,פעילות
33,actor,שַׂחְקָן
34,actress,שַׂחְקָנִית
35,actual,מַמָשִׁי
36,actually,בעצם
37,ad,מוֹדָעָה
38,adapt,לְהִסְתָגֵל
39,add,לְהוֹסִיף
40,addition,חיבור
41,additional,נוֹסָף
42,address,כתובת
43,adequate,נאות
44,adjust,לְהַתְאִים
45,adjustment,התאמה
46,administration,מִנהָל
47,administrator,מנהל
48,admire,לְהִתְפַּעֵל
49,admission,הוֹדָאָה
50,admit,להתוודות
51,adolescent,מִתבַּגֵר
52,adopt,לְאַמֵץ
53,adult,מְבוּגָר
54,advance,לְקַדֵם
55,advanced,מִתקַדֵם
56,advantage,יתרון
57,adventure,הַרפַּתקָה
58,advertising,פִּרסוּם
59,advice,עֵצָה
60,advise,לייעץ עצה
61,adviser,יוֹעֵץ
62,advocate,עוֹרֵך דִין
63,affair,פָּרָשָׁה
64,affect,להשפיע
65,afford,לְהַרְשׁוֹת לְעַצמוֹ
66,afraid,חוֹשֵׁשׁ
67,African,אַפְרִיקַנִי
68,African-American,אפריקאי אמריקאי
69,after,לאחר
70,afternoon,אחרי הצהריים
71,again,שוב
72,against,מול
73,age,גיל
74,agency,סוֹכְנוּת
75,agenda,סֵדֶר הַיוֹם
76,agent,סוֹכֵן
77,aggressive,תוֹקפָּנִי
78,ago,לִפנֵי
79,agree,לְהַסכִּים
80,agreement,הֶסכֵּם
81,agricultural,חַקלָאִי
82,ah,אה
83,ahead,קָדִימָה
84,aid,סיוע
85,aide,עוֹזֵר
86,AIDS,איידס
87,aim,מַטָרָה
88,air,אוויר
89,aircraft,כְּלִי טַיִס
90,airline,חֶברַת תְעוּפָה
91,airport,שדה תעופה
92,album,אַלבּוֹם
93,alcohol,כּוֹהֶל
94,alive,בחיים
95,all,את כל
96,alliance,בְּרִית
97,allow,להתיר
98,ally,ברית
99,almost,כִּמעַט
100,alone,לבד
101,along,לְאוֹרֶך
102,already,כְּבָר
103,also,גַם
104,alter,לשנות
105,alternative,חֲלוּפָה
106,although,למרות ש
107,always,תמיד
108,AM,"ארה""ב"
109,amazing,מדהים
110,American,אֲמֶרִיקָאִי
111,among,בין
112,amount,כמות
113,analysis,אָנָלִיזָה
114,analyst,מְנַתֵחַ
115,analyze,לְנַתֵחַ
116,ancient,עָתִיק
117,and,ו
118,anger,כַּעַס
119,angle,זָוִית
120,angry,כּוֹעֵס
121,animal,בעל חיים
122,anniversary,יוֹם הַשָׁנָה
123,announce,להכריז
124,annual,שנתי
125,another,אַחֵר
126,answer,תשובה
127,anticipate,לְצַפּוֹת
128,anxiety,חֲרָדָה
129,any,כל
130,anybody,מִישֶׁהוּ
131,anymore,יותר
132,anyone,כֹּל אֶחָד
133,anything,כל דבר
134,anyway,בכל מקרה
135,anywhere,בְּכָל מָקוֹם
136,apart,מלבד
137,apartment,דִירָה
138,apparent,נִרְאֶה
139,apparently,ככל הנראה
140,appeal,עִרעוּר
141,appear,לְהוֹפִיעַ
142,appearance,מראה חיצוני
143,apple,תפוח עץ
144,application,יישום
145,apply,להגיש מועמדות
146,appoint,לְמַנוֹת
147,appointment,קביעת פגישה
148,appreciate,מעריך
149,approach,גִישָׁה
150,appropriate,מתאים
151,approval,הסכמה
152,approve,לְאַשֵׁר
153,approximately,בְּעֵרֶך
154,Arab,ערבי
155,architect,אַדְרִיכָל
156,area,אֵזוֹר
157,argue,לִטעוֹן
158,argument,טַעֲנָה
159,arise,לְהִתְעוֹרֵר
160,arm,זְרוֹעַ
161,armed,חָמוּשׁ
162,army,צָבָא
163,around,סְבִיב
164,arrange,לְאַרגֵן
165,arrangement,הֶסדֵר
166,arrest,מַעְצָר
167,arrival,הַגָעָה
168,arrive,לְהַגִיעַ
169,art,אומנות
170,article,מאמר
171,artist,אמן
172,artistic,אָמָנוּתִי
173,as,כפי ש
174,Asian,אסייתי
175,aside,בַּצַד
176,ask,לִשְׁאוֹל
177,asleep,יָשֵׁן
178,aspect,אספקט
179,assault,תקיפה
180,assert,לִטעוֹן
181,assess,לְהַעֲרִיך
182,assessment,הערכה
183,asset,נכס
184,assign,לְהַקְצוֹת
185,assignment,מְשִׁימָה
186,assist,לסייע
187,assistance,סִיוּעַ
188,assistant,עוֹזֵר
189,associate,חָבֵר
190,association,אִרגוּן
191,assume,לְהַנִיחַ
192,assumption,הנחה
193,assure,לְהַבטִיחַ
194,at,בְּ-
195,athlete,אַתלֵט
196,athletic,אַתלֵטִי
197,atmosphere,אַטמוֹספֵרָה
198,attach,לְצַרֵף
199,attack,לִתְקוֹף
200,attempt,לְנַסוֹת
201,attend,השתתף
202,attention,תשומת הלב
203,attitude,יַחַס
204,attorney,"עו""ד"
205,attract,לִמְשׁוֹך
206,attractive,מוֹשֵׁך
207,attribute,תְכוּנָה
208,audience,קהל
209,author,מְחַבֵּר
210,authority,רָשׁוּת
211,auto,אוטומטי
212,available,זמין
213,average,מְמוּצָע
214,avoid,לְהִמָנַע
215,award,פרס
216,aware,מוּדָע
217,awareness,מוּדָעוּת
218,away,רָחוֹק
219,awful,נורא
220,baby,תִינוֹק
221,back,חזור
222,background,רקע כללי
223,bad,רַע
224,badly,רע
225,bag,תיק
226,bake,לֶאֱפוֹת
227,balance,איזון
228,ball,כַּדוּר
229,ban,לֶאֱסוֹר
230,band,לְהִתְאַגֵד
231,bank,בַּנק
232,bar,בָּר
233,barely,בקושי
234,barrel,חָבִית
235,barrier,מַחסוֹם
236,base,בסיס
237,baseball,בייסבול
238,basic,בסיסי
239,basically,בעיקרון
240,basis,בָּסִיס
241,basket,סַל
242,basketball,כדורסל
243,bathroom,חדר אמבטיה
244,battery,סוֹלְלָה
245,battle,קרב
246,be,לִהיוֹת
247,beach,החוף
248,bean,אפונה
249,bear,דוב
250,beat,להיות ב
